date.modif,banreprate
2016-08-01,"0,0775"
2016-06-23,"0,075"
2016-05-31,"0,0725"
2016-05-02,"0,07"
2016-03-22,"0,065"
2016-02-22,"0,0625"
2016-02-01,"0,06"
2015-12-21,"0,0575"
2015-11-30,"0,055"
2015-11-03,"0,0525"
2015-09-28,"0,0475"
2014-09-01,"0,045"
2014-08-01,"0,0425"
2014-06-24,"0,04"
2014-06-03,"0,0375"
2014-04-28,"0,035"
2013-03-26,"0,0325"
2013-02-25,"0,0375"
2013-01-29,"0,04"
2012-12-24,"0,0425"
2012-11-26,"0,045"
2012-08-27,"0,0475"
2012-07-30,"0,05"
2012-02-27,"0,0525"
2012-01-31,"0,05"
2011-11-28,"0,0475"
2011-08-01,"0,045"
2011-06-20,"0,0425"
2011-05-31,"0,04"
2011-05-02,"0,0375"
2011-03-22,"0,035"
2011-02-28,"0,0325"
2010-05-03,"0,03"
2009-11-24,"0,035"
2009-09-28,"0,04"
2009-06-23,"0,045"
2009-06-01,"0,05"
2009-05-04,"0,06"
2009-03-24,"0,07"
2009-03-02,"0,08"
2009-02-02,"0,09"
2008-12-22,"0,095"
2008-07-28,"0,1"
2008-02-25,"0,0975"
2007-11-26,"0,095"
2007-07-30,"0,0925"
2007-06-19,"0,09"
2007-05-22,"0,0875"
2007-05-02,"0,085"
2007-03-26,"0,0825"
2007-02-26,"0,08"
2007-01-29,"0,0775"
2006-12-18,"0,075"
2006-10-30,"0,0725"
2006-10-02,"0,07"
2006-08-22,"0,0675"
2006-06-21,"0,065"
2006-05-02,"0,0625"
2005-09-19,"0,06"
2004-12-20,"0,065"
2004-03-23,"0,0675"
2004-02-23,"0,07"
2003-04-29,"0,0725"
2003-01-20,"0,0625"
2002-06-17,"0,0525"
2002-05-20,"0,0575"
2002-04-15,"0,0625"
2002-03-18,"0,0725"
2002-01-21,"0,08"
2001-12-17,"0,085"
2001-11-13,"0,0875"
2001-10-16,"0,0925"
2001-09-17,"0,095"
2001-08-17,"0,1"
2001-07-30,"0,11"
2001-03-12,"0,115"
1999-12-13,"0,12"
1999-11-16,"0,13"
1999-10-19,"0,15"
1999-08-17,"0,16"
1999-07-26,"0,17"
1999-05-18,"0,18"
1999-04-19,"0,19"
1999-03-23,"0,2"
1999-03-08,"0,23"
1999-02-08,"0,24"
1998-12-14,"0,26"
1998-11-30,"0,28"
1998-11-09,"0,3"
1998-05-28,"0,32"
1998-02-16,"0,3"
1997-08-19,"0,27"
1997-05-07,"0,275"
1997-03-10,"0,285"
1996-11-23,"0,33"
1996-11-15,"0,32"
1996-03-22,"0,35"
1996-02-22,"0,38"
1995-12-20,"0,41"
1995-04-06,"0,45"
